Entry Number,Name,Type,Year,Status,Duration/Episodes,Genres
1,Death Note,TV,2006,Finished,"37eps, 23min","['Supernatural', 'Suspense']"
2,Psycho-Pass,TV,2012,Finished,"22eps, 23min","['Action', 'Mystery', 'Sci-Fi', 'Suspense']"
3,Bungou Stray Dogs,TV,2016,Finished,"12eps, 23min","['Action', 'Mystery', 'Supernatural']"
4,Zankyou no Terror,TV,2014,Finished,"11eps, 22min","['Mystery', 'Suspense']"
5,Bungou Stray Dogs 2nd Season,TV,2016,Finished,"12eps, 23min","['Action', 'Mystery', 'Supernatural']"
6,Psycho-Pass 2,TV,2014,Finished,"11eps, 23min","['Action', 'Mystery', 'Sci-Fi', 'Suspense']"
7,Bungou Stray Dogs 3rd Season,TV,2019,Finished,"12eps, 23min","['Action', 'Mystery', 'Supernatural']"
8,Fugou Keiji: Balance:Unlimited,TV,2020,Finished,"11eps, 23min",['Mystery']
9,Mousou Dairinin,TV,2004,Finished,"13eps, 24min","['Avant', 'Garde', 'Drama', 'Mystery', 'Supernatural', 'Suspense']"
10,Koukaku Kidoutai: Stand Alone Complex,TV,2002,Finished,"26eps, 25min","['Action', 'Award', 'Winning', 'Mystery', 'Sci-Fi']"
11,Id:Invaded,TV,2020,Finished,"13eps, 24min","['Mystery', 'Sci-Fi', 'Suspense']"
12,"Tantei wa Mou, Shindeiru.",TV,2021,Finished,"12eps, 25min","['Comedy', 'Mystery', 'Romance']"
13,Meitantei Conan,TV,1996,Airing,"?eps, 25min","['Adventure', 'Comedy', 'Mystery']"
14,Hamatora The Animation,TV,2014,Finished,"12eps, 24min","['Action', 'Mystery', 'Supernatural']"
15,Bungou Stray Dogs 4th Season,TV,2023,Finished,"13eps, 23min","['Action', 'Mystery', 'Supernatural']"
16,Psycho-Pass 3,TV,2019,Finished,"8eps, 45min","['Action', 'Mystery', 'Sci-Fi', 'Suspense']"
17,Kamisama no Memochou,TV,2011,Finished,"12eps, 26min","['Drama', 'Mystery']"
18,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,2004,Finished,"26eps, 25min","['Action', 'Mystery', 'Sci-Fi']"
19,Subete ga F ni Naru,TV,2015,Finished,"11eps, 23min","['Mystery', 'Sci-Fi']"
20,Re:␣Hamatora,TV,2014,Finished,"12eps, 24min","['Action', 'Mystery', 'Supernatural']"
21,ACCA: 13-ku Kansatsu-ka,TV,2017,Finished,"12eps, 24min","['Drama', 'Fantasy', 'Mystery']"
22,Bungou Stray Dogs 5th Season,TV,2023,Finished,"11eps, 23min","['Action', 'Mystery', 'Supernatural']"
23,Hakata Tonkotsu Ramens,TV,2018,Finished,"12eps, 23min","['Action', 'Mystery']"
24,Babylon,TV,2019,Finished,"12eps, 24min","['Mystery', 'Suspense']"
25,Un-Go,TV,2011,Finished,"11eps, 24min","['Mystery', 'Sci-Fi', 'Supernatural']"
26,Dantalian no Shoka,TV,2011,Finished,"12eps, 24min","['Action', 'Mystery', 'Supernatural']"
27,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",TV,2016,Finished,"24eps, 24min","['Comedy', 'Drama', 'Mystery']"
28,Shinrei Tantei Yakumo,TV,2010,Finished,"13eps, 24min","['Horror', 'Mystery', 'Supernatural']"
29,Undead Girl Murder Farce,TV,2023,Finished,"13eps, 22min","['Fantasy', 'Mystery']"
30,Cop Craft,TV,2019,Finished,"12eps, 23min","['Action', 'Fantasy', 'Mystery', 'Sci-Fi']"
31,Ranpo Kitan: Game of Laplace,TV,2015,Finished,"11eps, 23min","['Mystery', 'Suspense']"
32,"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori",TV,2016,Finished,"24eps, 23min","['Drama', 'Mystery', 'Sci-Fi']"
33,Witch Hunter Robin,TV,2002,Finished,"26eps, 25min","['Action', 'Drama', 'Mystery', 'Supernatural']"
34,Cuticle Tantei Inaba,TV,2013,Finished,"12eps, 23min","['Comedy', 'Fantasy', 'Mystery']"
35,Kamonohashi Ron no Kindan Suiri,TV,2023,Finished,"13eps, 24min","['Comedy', 'Mystery']"
36,Bishounen Tanteidan,TV,2021,Finished,"12eps, 23min",['Mystery']
37,Kabukichou Sherlock,TV,2019,Finished,"24eps, 24min","['Comedy', 'Drama', 'Mystery']"
38,Majin Tantei Nougami Neuro,TV,2007,Finished,"25eps, 23min","['Comedy', 'Mystery', 'Supernatural']"
39,Fuuto Tantei,TV,2022,Finished,"12eps, 25min","['Action', 'Mystery', 'Supernatural']"
40,Kyoto Teramachi Sanjou no Holmes,TV,2018,Finished,"12eps, 23min","['Drama', 'Mystery']"
41,Mouryou no Hako,TV,2008,Finished,"13eps, 23min","['Mystery', 'Supernatural', 'Suspense']"
42,Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,TV,2019,Finished,"12eps, 23min","['Action', 'Fantasy', 'Mystery']"
43,Tokkou,TV,2006,Finished,"13eps, 24min","['Action', 'Horror', 'Mystery', 'Supernatural']"
44,Tantei Opera Milky Holmes,TV,2010,Finished,"12eps, 24min","['Comedy', 'Mystery']"
45,Koukaku Kidoutai Arise: Alternative Architecture,TV,2015,Finished,"10eps, 24min",['Sci-Fi']
46,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2",TV,2018,Finished,"23eps, 24min","['Comedy', 'Drama', 'Mystery']"
47,Double Decker! Doug & Kirill,TV,2018,Finished,"13eps, 24min","['Action', 'Comedy', 'Mystery', 'Sci-Fi']"
48,"Tantei wa Mou, Shindeiru. Season 2",TV,-Not,,"yetaired ?eps,","['Comedy', 'Mystery', 'Romance']"
49,Taiho Shichau zo (TV),TV,1996,Finished,"47eps, 24min","['Action', 'Comedy']"
50,Tantei Gakuen Q,TV,2003,Finished,"45eps, 25min","['Comedy', 'Drama', 'Mystery']"
51,Dirty Pair,TV,1985,Finished,"24eps, 24min","['Adventure', 'Comedy', 'Sci-Fi']"
52,Strange+,TV,2014,Finished,"12eps, 3min",['Comedy']
53,Tenchi Muyou! GXP,TV,2002,Finished,"26eps, 24min","['Action', 'Comedy', 'Sci-Fi']"
54,Bungou Stray Dogs: Hitori Ayumu,OVA,2017,Finished,"1ep, 23min","['Action', 'Mystery', 'Supernatural']"
55,Gunsmith Cats,OVA,1995,Finished,"3eps, 29min","['Action', 'Comedy']"
56,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,OVA,2005,Finished,"1ep, 160min","['Action', 'Mystery', 'Sci-Fi']"
57,Armitage III,OVA,1995,Finished,"4eps, 33min","['Action', 'Adventure', 'Romance', 'Sci-Fi']"
